,标题,时间
316,各疫情发生地应对处置工作有序有力推进（国务院联防联控机制发布会）,2022年3月16日
317,采取最彻底的防控措施 尽快遏制疫情扩散势头,2022年3月14日
318,孙春兰在全国疫情防控工作电视电话会议上强调 从严从紧落实疫情防控各项措施 坚决守住不出现疫情规模性反弹底线,2022年3月13日
319,抗击疫情是我们的头等大事,2022年3月11日
320,春运期间疫情防控措施严格落实见成效 大部分学校如期安全开学（国务院联防联控机制发布会）,2022年2月27日
321,合力抗疫情 奉献汇暖流,2022年2月23日
322,国家的坚实支持是香港应对疫情的信心来源,2022年2月18日
323,携手抗击疫情 共筑免疫屏障,2022年2月14日
324,习近平《坚定信心 勇毅前行 共创后疫情时代美好世界——在2022年世界经济论坛视频会议的演讲》单行本出版,2022年2月12日
325,就香港抗击第五波疫情答记者问,2022年2月11日
326,冬奥闭环内未发生聚集性疫情 疫情风险总体可控（冬奥发布）,2022年2月9日
327,展现战胜疫情的信心和力量（和音）,2022年1月31日
328,构筑冬奥会疫情防控“数字防线”（钟声）,2022年1月30日
329,冬奥疫情防控严格闭环管理，专家表示： “我们有信心保证安全”,2022年1月30日
330,走和平发展、合作共赢的人间正道（和音）（——共创后疫情时代美好世界⑤）,2022年1月23日
331,始终做全球发展事业的实践者和贡献者（和音）（——共创后疫情时代美好世界④）,2022年1月22日
332,孙春兰在调研北京冬奥会疫情防控时强调 精准精细落实疫情防控措施 确保冬奥会顺利举办和人员健康安全,2022年1月21日
333,推动世界经济复苏进程走稳走实（和音）（——共创后疫情时代美好世界③）,2022年1月21日
334,广州南站积极统筹疫情防控和运输组织，提供多样化服务—— 让回家之路平安顺畅（2022春运一线）,2022年1月20日
335,坚定人类走出疫情阴霾的必胜信心（和音）（——共创后疫情时代美好世界②）,2022年1月20日
336,从历史和哲学高度回答时代之问（和音）（——共创后疫情时代美好世界①）,2022年1月19日
337,习近平出席2022年世界经济论坛视频会议并发表演讲（强调要在历史前进的逻辑中前进 在时代发展的潮流中发展坚定信心 勇毅前行 共创后疫情时代美好世界）,2022年1月18日
338,驻日美军造成日本疫情扩散,2022年1月18日
339,坚定信心 勇毅前行 共创后疫情时代美好世界,2022年1月18日
340,深入细致落实防控措施 尽早扑灭聚集性疫情,2022年1月18日
341,博鳌亚洲论坛2022年年会将聚焦疫情防治等6项议题,2022年1月13日
342,应用数字技术 助力疫情防控,2022年1月11日
343,刚果（金）成功遏制新一轮埃博拉疫情,2022年1月10日
344,慎终如始抓好防控措施落实 一鼓作气打赢疫情防控歼灭战,2022年1月9日
345,世卫组织肯定北京冬奥会疫情防控措施,2022年1月9日
346,美国新冠肺炎疫情严重反弹,2022年1月7日
347,做好疫情防控 保障安全出行（权威发布）,2022年1月6日
348,采取更加坚决果断的措施 坚定信心尽快控制疫情蔓延,2021年12月31日
349,用于支持陕西省西安市新冠肺炎疫情防控工作,2021年12月31日
350,李克强主持召开国务院常务会议（部署做好2022年春运疫情防控工作；决定延续实施部分个人所得税优惠政策；确定加强乡村教师队伍建设和保障进城务工人员随迁子女就学的措施）,2021年12月30日
351,十五个督查组分赴各地督查疫情防控 确保人民群众度过健康祥和的节日（国务院联防联控机制发布会）,2021年12月30日
352,李克强主持召开国务院常务会议（部署做好2022年春运疫情防控工作；决定延续实施部分个人所得税优惠政策；确定加强乡村教师队伍建设和保障进城务工人员随迁子女就学的措施）,2021年12月30日
353,刻不容缓落实防控措施 尽快遏制疫情扩散蔓延,2021年12月23日
354,西安全力以赴遏制疫情蔓延势头,2021年12月22日
355,疫情防控要确保做到放假不放松（国务院联防联控机制发布会）,2021年12月21日
356,中国疫苗帮助菲律宾抗击疫情（国际论坛）,2021年12月20日
357,迅速果断处置聚集疫情 尽快实现“动态清零”,2021年12月20日
358,“两节”期间疫情防控必须高度重视—— 科学精准防控 安全有序流动（国务院联防联控机制发布会）,2021年12月19日
359,“疫情下共同坚守，我们亲如一家”,2021年12月18日
360,加强口岸城市新冠肺炎疫情防控工作,2021年12月14日
361,多国升级防控措施应对疫情（国际视点）,2021年12月9日
362,孙春兰在全国疫情防控工作电视电话会议上强调 科学精准扎实做好疫情防控工作 确保人民群众“两节”健康平安,2021年12月8日
363,精心做好医疗保障和疫情防控工作 确保举办健康安全北京冬奥会,2021年11月23日
364,同心协力，牢牢将疫情控制住,2021年11月22日
365,全国累计报告接种新冠疫苗超二十四亿剂次（国务院联防联控机制发布会）（本轮疫情整体进入扫尾阶段，仍需巩固落实现有防控政策）,2021年11月21日
366,坚持常态化疫情防控不松懈（——访国家卫健委新冠肺炎疫情应对处置工作领导小组专家组组长梁万年）,2021年11月19日
367,日本发生禽流感疫情,2021年11月16日
368,严密防控 果断处置 尽快遏制疫情扩散蔓延,2021年11月16日
369,进一步做好冬春季疫情防控（国务院联防联控机制发布会）,2021年11月14日
370,第三十一届中国新闻奖评选结果揭晓（本报评论《风雨无阻向前进——写在中国人民抗击新冠肺炎疫情之际》、短视频专题报道《生死金银潭》获特别奖；文字通讯与深度报道《“总书记来过我们家”系列报道》等获一等奖）,2021年11月8日
371,把疫情防控摆在突出位置 落实落细各项工作 高质量完成筹办任务,2021年11月5日
372,把人民生命安全和身体健康放在第一位（新时代的关键抉择）（——以习近平同志为核心的党中央坚决打赢疫情防控人民战争总体战阻击战述评）,2021年11月2日
373,美国新冠肺炎疫情持续蔓延,2021年11月2日
374,把人民生命安全和身体健康放在第一位（新时代的关键抉择）（——以习近平同志为核心的党中央坚决打赢疫情防控人民战争总体战阻击战述评）,2021年11月2日
375,团结起来，共同驱散疫情阴霾（和音）,2021年11月2日
376,精细精准落实防控措施 尽快遏制多点散发疫情,2021年10月31日
377,合作抗击疫情 聚焦共同发展（权威发布）,2021年10月27日
378,加强秋冬季新冠肺炎疫情防控（国务院联防联控机制发布会）,2021年10月25日
379,落细落实各项防控措施 坚决遏制疫情扩散蔓延,2021年10月23日
380,从疫情中复苏必须具有变革性、包容性和可持续性,2021年10月19日
381,“疫苗巴士”为社区提供便利（患难见真情 共同抗疫情）,2021年10月18日
382,阻断社区传播 遏制疫情外溢 福建莆田已全域转为低风险区,2021年10月13日
383,意大利：疫苗接种推动疫情形势好转,2021年10月13日
384,各国采取气候行动确保疫情后绿色复苏,2021年10月13日
385,非洲疫情形势有所好转,2021年10月12日
386,国际奥委会执行委员会会议审议北京冬奥会和冬残奥会疫情防控政策,2021年10月1日
387,全国累计报告接种新冠病毒疫苗22亿余剂次（国务院联防联控机制发布会）（假期要强化疫情防控值守）,2021年9月30日
388,“新冠肺炎疫情大流行下的生命健康权保障”边会举行,2021年9月30日
389,人民至上 生命至上（——从精准处理疫情防控与经济发展的辩证关系看中国之道）,2021年9月30日
390,疫情期间少数族裔企业难获资助—— “美国正经历一场不公平的经济复苏”（深度观察）,2021年9月29日
391,一鼓作气早日打赢聚集性疫情歼灭战,2021年9月24日
392,迅速行动，全力以赴（——福建新冠肺炎疫情防控一线见闻）,2021年9月21日
393,落细落实各项防控措施 尽快把疫情控制住,2021年9月20日
394,推进疫苗合作 团结抗击疫情（推动抗疫国际合作，中国在行动）,2021年9月15日
395,“溯源政治化严重破坏全球疫情防控合作大局”（国际视点）,2021年9月14日
396,我国本轮疫情已经得到有效控制，记者走近疫情防控一线工作人员，听他们讲述—— 全力以赴打好德尔塔变异株疫情防控阻击战（人民眼·新冠肺炎疫情防控）,2021年9月10日
397,图片报道（患难见真情 共同抗疫情）,2021年9月8日
398,智利给予科兴新冠疫苗在6岁至17岁人群中紧急使用许可（患难见真情 共同抗疫情）,2021年9月8日
399,新西兰多地下调防控新冠肺炎疫情响应等级,2021年9月7日
400,美国抗疫乱象加剧疫情危机,2021年9月2日
401,欧洲努力应对疫情反弹,2021年9月1日
402,国办在中国政府网开通“各地疫情防控政策措施”专栏,2021年8月31日
403,全力做好疫情防控和医疗救治 更好地维护人民群众健康福祉,2021年8月20日
404,泰国延长疫情高危地区封锁措施,2021年8月19日
405,依法惩治妨害疫情防控秩序犯罪,2021年8月19日
406,美国疫情出现时间或早于官方报告（深度观察）,2021年8月17日
407,哥伦比亚多地发生登革热疫情,2021年8月17日
408,疫情凸显美国“资本至上”冷酷现实（钟声）,2021年8月17日
